factors,total_quantum_cycles,computation_time
"(13, 59)",52714,343476197
"(2, (2, (2, (2, (2, (2, (2, (2, 3))))))))",153,24926
769,133,3802
"(2, ((7, 11), 5))",51906,323168609
"(257, 3)",31666,187112039
"(2, (2, 193))",163,7023
773,133,2048
"(2, (3, (3, 43)))",13514,53166607
"((5, 5), 31)",63215,362914218
"(2, (2, (2, 97)))",178,13318
"(3, (37, 7))",35621,213760100
"(2, 389)",148,6724
"(41, 19)",42238,199675783
"(2, (2, ((5, 13), 3)))",26799,126978716
"(11, 71)",21214,126678436
"(2, (17, 23))",23825,116351554
"(29, ((3, 3), 3))",29304,158375819
"(2, (2, (2, (2, (7, 7)))))",173070,871692481
"(5, 157)",188,13011
"(2, (3, 131))",23781,106575188
787,133,3017
"(2, (2, 197))",163,7310
"(3, 263)",31666,193631079
"(2, (79, 5))",12003,69025951
"(113, 7)",10688,60768860
"(2, (2, (2, ((3, 3), 11))))",78292,543047718
"(61, 13)",10714,50195082
"(2, 397)",148,6087
"(5, (53, 3))",24021,135480093
"(2, (2, 199))",163,11276
797,133,3899
"(2, (19, (3, 7)))",12008,54543665
"(47, 17)",52738,323238158
"(2, (2, (2, (2, (2, (5, 5))))))",73685,443546220
"(89, (3, 3))",82699,549768432
"(2, 401)",148,8574
"(73, 11)",21214,140267616
"(2, (2, (67, 3)))",13496,66839175
"(5, (7, 23))",13515,92951710
"(2, (13, 31))",23801,206893291
"(3, 269)",31666,301083464
"(2, (2, (2, 101)))",178,9738
809,133,2124
"(2, ((5, 3), (3, (3, 3))))",35002,231879939
811,133,3179
"(2, (2, (29, 7)))",13490,59031603
"(271, 3)",10666,57568270
"(2, (11, 37))",47429,266717866
"(5, 163)",10688,50068255
"(2, (2, (2, (2, (17, 3)))))",13498,57439894
"(43, 19)",21238,122515161
"(2, 409)",148,6222
"(7, (13, (3, 3)))",64502,437355761
"(2, (2, (5, 41)))",218,14405
821,133,2356
"(2, (137, 3))",35581,219482121
823,133,3968
"(2, (2, (2, 103)))",178,11644
"((5, 5), (3, 11))",34524,199882373
"(2, (59, 7))",59203,319971627
827,133,5094
"(2, (2, (3, (3, 23))))",26801,143601980
829,133,4267
"(2, (5, 83))",12003,67001800
"(3, 277)",10666,59393480
"(2, (2, (2, (2, (2, (2, 13))))))",171,13035
"(17, (7, 7))",34515,193174267
"(2, (3, 139))",11981,63752227
"(5, 167)",52688,262967287
"(2, (2, (19, 11)))",26816,123471878
"(31, (3, (3, 3)))",29304,212955166
"(2, 419)",148,6484
839,133,2196
"(2, (2, (2, (5, (3, 7)))))",21188,115051517
"(29, 29)",157710,960525371
"(2, 421)",148,7026
"(3, 281)",10666,48479932
"(2, (2, 211))",163,6832
"(5, (13, 13))",1119517,5955624748
"(2, (3, (3, 47)))",23814,127426179
"(7, (11, 11))",40117,214439191
"(2, (2, (2, (2, 53))))",193,12260
"(3, 283)",166,12069
